ranking_date,ranking,player,points
1994-12-19,173,101636,249.0
1994-12-19,174,101826,249.0
1994-12-19,175,102214,244.0
1994-12-19,176,101805,244.0
1994-12-19,177,102106,244.0
1994-12-19,178,101362,242.0
1994-12-19,179,102419,240.0
1994-12-19,180,101133,234.0
1994-12-19,181,101929,232.0
1994-12-19,182,101353,228.0
1994-12-19,183,101298,226.0
1994-12-19,184,102271,223.0
1994-12-19,185,101270,221.0
1994-12-19,186,101597,220.0
1994-12-19,187,102198,220.0
1994-12-19,188,101701,218.0
1994-12-19,189,101234,218.0
1994-12-19,190,101641,215.0
1994-12-19,191,101681,215.0
1994-12-19,192,101190,213.0
1994-12-19,193,102466,213.0
1994-12-19,194,101914,213.0
1994-12-19,195,101829,213.0
1994-12-19,196,101417,209.0
1994-12-19,197,102465,208.0
1994-12-19,198,101868,207.0
1994-12-19,199,101224,207.0
1994-12-19,200,102243,206.0
2004-12-27,1,103819,6335.0
2004-12-27,2,104053,3655.0
2004-12-27,3,103720,3590.0
2004-12-27,4,103498,3060.0
2004-12-27,5,102845,2520.0
2004-12-27,6,102450,2465.0
2004-12-27,7,103909,2400.0
2004-12-27,8,101736,2100.0
2004-12-27,9,103900,1945.0
2004-12-27,10,103292,1920.0
2004-12-27,11,104026,1595.0
2004-12-27,12,103084,1595.0
2004-12-27,13,103990,1465.0
2004-12-27,14,103103,1380.0
2004-12-27,15,103206,1370.0
2004-12-27,16,104022,1340.0
2004-12-27,17,103163,1330.0
2004-12-27,18,102318,1325.0
2004-12-27,19,103454,1320.0
2004-12-27,20,102434,1285.0
2004-12-27,21,103017,1240.0
2004-12-27,22,103344,1235.0
2004-12-27,23,103602,1235.0
2004-12-27,24,102562,1195.0
2004-12-27,25,103852,1185.0
2004-12-27,26,103428,1135.0
2004-12-27,27,103387,1130.0
2004-12-27,28,103786,1085.0
2004-12-27,29,104339,1061.0
2004-12-27,30,102563,1013.0
2004-12-27,31,103507,955.0
2004-12-27,32,103758,955.0
2004-12-27,33,103285,950.0
2004-12-27,34,104417,950.0
2004-12-27,35,104252,939.0
2004-12-27,36,104269,938.0
2004-12-27,37,103888,935.0
2004-12-27,38,103632,925.0
2004-12-27,39,103781,920.0
2004-12-27,40,102856,905.0
2004-12-27,41,103566,890.0
2004-12-27,42,102783,885.0
2004-12-27,43,103835,880.0
2004-12-27,44,103971,863.0
2004-12-27,45,104607,863.0
2004-12-27,46,102257,805.0
2004-12-27,47,103018,800.0
2004-12-27,48,103598,798.0
2004-12-27,49,103970,790.0
2004-12-27,50,104214,781.0
2004-12-27,51,104745,775.0
2004-12-27,52,102148,748.0
2004-12-27,53,102642,748.0
2004-12-27,54,103151,735.0
2004-12-27,55,103280,709.0
2004-12-27,56,102610,705.0
2004-12-27,57,102854,705.0
2004-12-27,58,102860,685.0
2004-12-27,59,102703,681.0
2004-12-27,60,102905,647.0
2004-12-27,61,103333,640.0
2004-12-27,62,102271,630.0
2004-12-27,63,104068,625.0
2004-12-27,64,102765,616.0
2004-12-27,65,103898,593.0
2004-12-27,66,103694,585.0
2004-12-27,67,104076,581.0
2004-12-27,68,103252,580.0
2004-12-27,69,104180,580.0
2004-12-27,70,102035,575.0
2004-12-27,71,103672,568.0
2004-12-27,72,102358,538.0
2004-12-27,73,104338,533.0
2004-12-27,74,103176,528.0
2004-12-27,75,102227,525.0
2004-12-27,76,103808,522.0
2004-12-27,77,103813,519.0
2004-12-27,78,103789,510.0
2004-12-27,79,102179,503.0
2004-12-27,80,104098,491.0
2004-12-27,81,102231,489.0
2004-12-27,82,103171,482.0
2004-12-27,83,103401,480.0
2004-12-27,84,102202,479.0
2004-12-27,85,103169,478.0
2004-12-27,86,102539,468.0
2004-12-27,87,104229,466.0
2004-12-27,88,104259,466.0
2004-12-27,89,103193,460.0
2004-12-27,90,102571,457.0
2004-12-27,91,102344,452.0
2004-12-27,92,103812,452.0
2004-12-27,93,103592,452.0
2004-12-27,94,103240,451.0
2004-12-27,95,102998,450.0
2004-12-27,96,103319,445.0
2004-12-27,97,103484,440.0
2004-12-27,98,103420,437.0
2004-12-27,99,103656,436.0
2004-12-27,100,102694,434.0
2004-12-27,101,101885,433.0
2004-12-27,102,102456,433.0
2004-12-27,103,104597,433.0
2004-12-27,104,103490,424.0
2004-12-27,105,102880,420.0
2004-12-27,106,103096,413.0
2004-12-27,107,104755,413.0
2004-12-27,108,103133,407.0
2004-12-27,109,102882,400.0
2004-12-27,110,102106,399.0
2004-12-27,111,103581,398.0
2004-12-27,112,102615,398.0
2004-12-27,113,103294,393.0
2004-12-27,114,102374,385.0
2004-12-27,115,103181,382.0
2004-12-27,116,104019,379.0
2004-12-27,117,104386,378.0
2004-12-27,118,103201,376.0
2004-12-27,119,103535,374.0
2004-12-27,120,103153,372.0
2004-12-27,121,102720,364.0
2004-12-27,122,102839,362.0
2004-12-27,123,103908,361.0
2004-12-27,124,102730,361.0
2004-12-27,125,104166,355.0
2004-12-27,126,104379,354.0
2004-12-27,127,104268,352.0
2004-12-27,128,101965,345.0
2004-12-27,129,104198,342.0
2004-12-27,130,103105,338.0
2004-12-27,131,103917,335.0
2004-12-27,132,103444,334.0
2004-12-27,133,103264,331.0
2004-12-27,134,102565,329.0
2004-12-27,135,103580,328.0
2004-12-27,136,103451,324.0
2004-12-27,137,103325,321.0
2004-12-27,138,103849,321.0
2004-12-27,139,102494,319.0
2004-12-27,140,103693,317.0
2004-12-27,141,103174,312.0
2004-12-27,142,103843,310.0
